ranking,name,start,end,type,rate
#46,Seinfeld,1989,1998,TV-PG,8.8
#47,The Beatles: Get Back,2021,Null,TV-MA,8.9
#48,Cowboy Bebop,1998,1999,TV-14,8.9
#49,True Detective,2014,,TV-MA,8.8
#50,Nathan for You,2013,2017,TV-14,8.9
#51,Apocalypse: The Second World War,2009,Null,TV-MA,9.0
#52,Fargo,2014,2024,TV-MA,8.8
#53,Persona,2018,2024,TV-MA,8.9
#54,One Piece,1999,,TV-14,9.0
#55,Bleach: Thousand-Year Blood War,2022,,TV-14,9.0
#56,Africa,2013,Null,TV-PG,8.9
#57,The Chosen,2017,,TV-PG,9.1
#58,The West Wing,1999,2006,TV-14,8.9
#59,Friends,1994,2004,TV-14,8.8
#60,When They See Us,2019,Null,TV-MA,8.8
#61,It's Always Sunny in Philadelphia,2005,,TV-MA,8.8
#62,Last Week Tonight with John Oliver,2014,,TV-MA,8.8
#63,TVF Pitchers,2015,2022,TV-MA,9.0
#64,When Life Gives You Tangerines,2025,Null,TV-14,9.0
#65,Succession,2018,2023,TV-MA,8.8
#66,Curb Your Enthusiasm,2000,2024,TV-MA,8.8
#67,BoJack Horseman,2014,2020,TV-MA,8.8
#68,Vinland Saga,2019,2023,TV-MA,8.9
#69,Das Boot,1985,Null,TV-MA,8.8
#70,Monty Python's Flying Circus,1969,1974,TV-14,8.8
#71,Panchayat,2020,,TV-14,9.0
#72,Fawlty Towers,1975,1979,TV-PG,8.8
#73,Gullak,2019,,TV Series,9.1
#74,Dragon Ball Z,1996,2003,TV-PG,8.8
#75,Blackadder Goes Forth,1989,Null,TV-PG,8.8
#76,Dragon Ball Z,1989,1996,TV-PG,8.8
#77,Leyla and Mecnun,2011,2023,TV-PG,9.0
#78,Freaks and Geeks,1999,2000,TV-14,8.7
#79,Chappelle's Show,2003,2006,TV-MA,8.8
#80,Pride and Prejudice,1995,Null,TV-PG,8.8
#81,Twin Peaks,1990,1991,TV-MA,8.7
#82,Narcos,2015,2017,TV-MA,8.7
#83,Reply 1988,2015,2016,TV Series,9.0
#84,"I, Claudius",1976,Null,Not Rated,8.8
#85,South Park,1997,,TV-MA,8.7
#86,Kota Factory,2019,2021,TV-14,9.0
#87,Berserk,1997,1998,TV-MA,8.8
#88,Steins; Gate,2011,2015,TV-14,8.8
#89,Ted Lasso,2020,,TV-MA,8.7
#90,Over the Garden Wall,2014,Null,TV-PG,8.7
#91,My Mister,2018,Null,TV-14,9.0
#92,Black Mirror,2011,,TV-MA,8.7
#93,Peaky Blinders,2013,2022,TV-MA,8.7
#94,Six Feet Under,2001,2005,TV-MA,8.7
#95,Rome,2005,2007,TV-MA,8.7
#96,Dark,2017,2020,TV-MA,8.7
#97,Oz,1997,2003,TV-MA,8.7
#98,Monster,2004,2005,TV-14,8.8
#99,X-Men '97,2024,,TV-14,8.7
#100,Naruto: Shippuden,2007,2017,TV-PG,8.7
#101,The Grand Tour,2016,,TV-14,8.7
#102,Invincible,2021,,TV-MA,8.7
#103,The Shield,2002,2008,TV-MA,8.7
#104,Downton Abbey,2010,2015,TV-PG,8.7
#105,Fleabag,2016,2019,TV-MA,8.7
#106,Battlestar Galactica,2004,2009,TV-14,8.7
#107,Star Trek: The Next Generation,1987,1994,TV-PG,8.7
#108,Peep Show,2003,2015,TV-MA,8.7
#109,Mad Men,2007,2015,TV-MA,8.7
#110,Still Game,2002,2019,TV-14,8.9
#111,Blue Eye Samurai,2023,,TV-MA,8.7
#112,The Simpsons,1989,,TV-14,8.6
#113,Mahabharat,1988,1990,TV-14,8.9
#114,House,2004,2012,TV-14,8.7
#115,Justice League Unlimited,2004,2006,TV-Y7-FV,8.7
#116,The Adventures of Sherlock Holmes,1984,1985,TV-PG,8.7
#117,Line of Duty,2012,,TV-14,8.7
#118,Top Gear,2002,2022,TV-PG,8.7
#119,Code Geass: Lelouch of the Rebellion,2006,2008,TV-14,8.7
#120,Friday Night Lights,2006,2011,TV-14,8.7
#121,Arrested Development,2003,2019,TV-14,8.6
#122,Ramayan,1987,1988,TV-14,9.0
#123,Severance,2022,,TV-MA,8.6
#124,Fighting Spirit,2000,2002,TV-PG,8.8
#125,The Marvelous Mrs. Maisel,2017,2023,TV-MA,8.6
#126,How to with John Wilson,2020,2023,TV-MA,8.7
#127,This Is Us,2016,2022,TV-14,8.7
#128,Mr Inbetween,2018,2021,TV-MA,8.7
#129,Adventure Time,2010,2018,TV-PG,8.7
#130,The Thick of It,2005,2012,TV-MA,8.7
#131,Behzat Ç: An Ankara Detective Story,2010,2019,TV-14,8.8
#132,Aspirants,2021,,TV-14,9.1
#133,Father Ted,1995,1998,TV-14,8.6
#134,Dexter,2006,2013,TV-MA,8.6
#135,The X-Files,1993,2018,TV-14,8.6
#136,Parks and Recreation,2009,2015,TV-14,8.6
#137,1883,2021,2022,TV-MA,8.6
#138,Poirot,1989,2013,TV-14,8.6
#139,Deadwood,2004,2006,TV-MA,8.6
#140,Atlanta,2016,2022,TV-MA,8.6
#141,The Crown,2016,2023,TV-MA,8.6
#142,Sapne Vs Everyone,2023,,TV Series,9.2
#143,Daredevil,2015,2018,TV-MA,8.6
#144,Sarabhai V/S Sarabhai,2004,2017,TV-PG,8.8
#145,The Bridge,2011,2018,TV-MA,8.6
#146,It's a Sin,2021,Null,TV-MA,8.6
#147,House of Cards,2013,2018,TV-MA,8.6
#148,Mindhunter,2017,2019,TV-MA,8.6
#149,Mr. Bean,1990,1995,Not Rated,8.6
#150,Lonesome Dove,1989,Null,TV-14,8.6
#151,A Knight of the Seven Kingdoms,2026,,TV-MA,8.6
#152,Primal,2019,,TV-MA,8.6
#153,The Mandalorian,2019,2023,TV-14,8.6
#154,Blackadder II,1986,Null,TV-PG,8.6
#155,Haikyuu!!,2014,2020,TV-14,8.7
#156,The Bureau,2015,2020,TV-MA,8.7
#157,Crash Landing on You,2019,2020,TV-14,8.7
#158,One Punch Man,2015,,TV-PG,8.6
#159,The Offer,2022,Null,TV-MA,8.6
#160,Andor,2022,2025,TV-14,8.6
#161,Shōgun,2024,2026,TV-MA,8.6
#162,El Chavo,1972,1983,TV-PG,8.7
#163,Yes Minister,1980,1984,TV-PG,8.6
#164,The Return of Sherlock Holmes,1986,1988,TV-PG,8.7
#165,Pose,2018,2021,TV-MA,8.6
#166,Farouk Omar,2012,Null,Approved,9.0
#167,Gomorrah,2014,2021,TV-MA,8.6
#168,Greatest Events of WWII in Colour,2019,Null,TV Mini Series,8.6
#169,The Jinx: The Life and Deaths of Robert Durst,2015,2024,TV-14,8.6
#170,Blackadder the Third,1987,Null,TV-PG,8.6
#171,The Penguin,2024,Null,TV-MA,8.6
#172,The Newsroom,2012,2014,TV-MA,8.6
#173,Anne with an E,2017,2019,TV-PG,8.6
#174,Homicide: Life on the Street,1993,1999,TV-14,8.7
#175,Boardwalk Empire,2010,2014,TV-MA,8.5
#176,Stranger Things,2016,2025,TV-MA,8.6
#177,Scavengers Reign,2023,Null,TV-MA,8.6
#178,Archer,2009,2023,TV-MA,8.6
#179,Heated Rivalry,2025,,TV-MA,8.7
#180,Dopesick,2021,Null,TV-MA,8.6
#181,Yeh Meri Family,2018,,TV-14,8.9
#182,Mystery Science Theater 3000,1988,1999,TV-14,8.6
#183,Critical Role,2015,,TV-14,9.0
#184,Justified,2010,2015,TV-MA,8.6
#185,The Bugs Bunny Show,1960,1975,TV-G,8.5
#186,QI,2003,,TV-PG,8.6
#187,Endeavour,2012,2023,TV-14,8.6
#188,Battlestar Galactica,2003,Null,TV-14,8.5
#189,The Venture Bros.,2003,2018,TV-14,8.6
#190,Dragon Ball,1986,1989,T,8.5
#191,Justice League,2001,2004,TV-PG,8.5
#192,Regular Show,2010,2017,TV-PG,8.6
#193,"Yes, Prime Minister",1986,1987,TV-PG,8.6
#194,Young Justice,2010,2022,TV-PG,8.6
#195,What We Do in the Shadows,2019,2024,TV-MA,8.5
#196,Demon Slayer: Kimetsu no Yaiba,2019,2024,TV-MA,8.5
#197,Dragon Ball,1995,2003,TV-14,8.5
#198,Samurai Champloo,2004,2005,TV-MA,8.5
#199,The Haunting of Hill House,2018,Null,TV-MA,8.5
#200,Black Sun,2017,2026,TV-MA,8.8
#201,Detectorists,2014,2022,TV-14,8.6
#202,The IT Crowd,2006,2013,TV-14,8.5
#203,Flight of the Conchords,2007,2009,TV-MA,8.5
#204,Rocket Boys,2022,,TV Series,8.8
#205,Mr. Robot,2015,2019,TV-MA,8.5
#206,Samurai Jack,2001,2017,TV-Y7,8.5
#207,The Family Man,2019,,TV-MA,8.7
#208,Coupling,2000,2004,TV-14,8.5
#209,The Queen's Gambit,2020,Null,TV-MA,8.5
#210,I'm Alan Partridge,1997,2002,TV-MA,8.6
#211,Ezel,2009,2011,TV-14,8.6
#212,Happy Valley,2014,2023,TV-MA,8.5
#213,Derry Girls,2018,2022,TV-MA,8.5
#214,The Rehearsal,2022,,TV-MA,8.5
#215,Mob Psycho 100,2016,2022,TV-14,8.5
#216,Long Way Round,2004,2010,TV-PG,8.6
#217,Jujutsu Kaisen,2020,,TV-MA,8.5
#218,Alchemy of Souls,2022,2023,TV-14,8.7
#219,Making a Murderer,2015,2018,TV-14,8.5
#220,The Boys,2019,2026,TV-MA,8.5
#221,Twin Peaks,2017,Null,TV-MA,8.5
#222,All Creatures Great & Small,2020,,TV-PG,8.6
#223,Spaced,1999,2001,TV-14,8.5
#224,Sons of Anarchy,2008,2014,TV-MA,8.5
#225,Whose Line Is It Anyway?,1998,2007,TV-PG,8.5
#226,Impractical Jokers,2011,,TV-14,8.5
#227,Neon Genesis Evangelion,1995,1996,TV-MA,8.5
#228,Louie,2010,2015,TV-MA,8.5
#229,Takopi's Original Sin,2025,Null,Approved,8.7
#230,My Brilliant Friend,2018,2024,TV-MA,8.6
#231,Through the Wormhole,2010,2017,TV-PG,8.6
#232,Gintama,2005,2021,TV-MA,8.7
#233,Mind Your Language,1977,1986,TV-14,8.6
#234,Trailer Park Boys,2001,2026,TV-MA,8.5
#235,Your Lie in April,2014,2015,TV-PG,8.6
#236,Schitt's Creek,2015,2020,TV-14,8.5
#237,The Office,2001,2003,TV-MA,8.5
#238,Yellowstone,2018,2024,TV-MA,8.6
#239,The Eric Andre Show,2012,,TV-MA,8.5
#240,Star Wars: Maul - Shadow Lord,2026,,TV-PG,8.5
#241,Mahabharat,2013,2014,TV Series,8.7
#242,Smiling Friends,2020,2026,TV-MA,8.5
#243,Solo Leveling,2024,,TV-MA,8.5
#244,Twinkling Watermelon,2023,Null,TV-14,8.8
#245,Brass Eye,1997,2001,TV-MA,8.6
#246,Tash Ma Tash,1993,2023,TV Series,9.0
#247,The Boondocks,2005,2014,TV-MA,8.5
#248,The Great British Baking Show,2010,,TV-PG,8.6
#249,The Expanse,2015,2022,TV-14,8.5
#250,Foyle's War,2002,2015,TV-14,8.6
